director
John M. Stahl
Leslie S. Hiscott
Roy Del Ruth
"Zion Myers, Jules White"
Edgar Selwyn
Lloyd Bacon
Alfred Hitchcock
Norman Taurog
Alfred E. Green
Gregory La Cava
Michael Curtiz
Jacques Feyder
Jack Raymond
Charles Brabin
Cecil B. DeMille
William A. Wellman
Charles Reisner
George Abbott
George Fitzmaurice
King Vidor
John M. Stahl
D.W. Griffith
Arnold Fanck
Robert Z. Leonard
Archie Mayo
F.W. Murnau
George Cukor
"Lionel Barrymore, Edward Buzzell"
Nick Grinde
George Archainbaud
Albert S. Rogell
Yasujirô Ozu
Mervyn LeRoy
W.S. Van Dyke
William K. Howard
Herbert Brenon
Archie Mayo
George Fitzmaurice
Max Ophüls
"Varick Frissell, George Melford"
James Whale
William A. Seiter
Harry Joe Brown
Raoul Walsh
René Clair
Frank Borzage
Gregory La Cava
John Ford
"Michael Curtiz, Lloyd Bacon"
"Frank Capra, Allan Dwan"
"Edward H. Griffith, George Cukor"
Harry Beaumont
Jack Conway
George Fitzmaurice
Irving Cummings
John M. Stahl
Charles Brabin
John Francis Dillon
Frank Tuttle
Mervyn LeRoy
Tenny Wright
Edward Buzzell
George Cukor
King Vidor
"Leni Riefenstahl, Béla Balázs"
Roy Del Ruth
Josef von Sternberg
Paul Martin
Edmund Goulding
Jean Renoir
Ernst Lubitsch
Jack Conway
Benjamin Stoloff
Michael Curtiz
John Francis Dillon
Albert S. Rogell
John G. Adolfi
"William Cameron Menzies, Marcel Varnel"
John G. Blystone
William A. Wellman
William A. Wellman
William Dieterle
Raymond Bernard
H. Bruce Humberstone
Lloyd Bacon
Howard Hawks
King Vidor
David Burton
Alfred E. Green
Marion Gering
Charles Reisner
Michael Curtiz
Monta Bell
Rouben Mamoulian
Clarence Brown
Archie Mayo
Gustav Machatý
Karl Hartl
Harry Beaumont
Lloyd Bacon
Marc Allégret
Frank Borzage
"Harry A. Pollard, Sam Wood"
Howard Higgin
Lloyd Bacon
John Ford
Frank Capra
Tod Browning
Dudley Murphy
Maurice Tourneur
Fred Allen
William A. Seiter
Oscar Micheaux
Edmund Goulding
Lowell Sherman
Mikhail Kalatozov
Gregory La Cava
William A. Wellman
"Mack V. Wright, Hugh Harman"
George W. Hill
"Rowland Brown, John Cromwell"
Howard Higgin
Georg Wilhelm Pabst
Mervyn LeRoy
Norman Taurog
Norman Z. McLeod
William A. Seiter
Sam Wood
"J.P. McGowan, Armand Schaefer"
Mervyn LeRoy
"James Cruze, H. Bruce Humberstone"
James Whale
William A. Seiter
Aleksandr Dovzhenko
William Dieterle
Leo McCarey
Richard Thorpe
William J. Cowen
Slatan Dudow
Lowell Sherman
Stephen Roberts
Edward H. Griffith
Samuel Bischoff
"Ford Beebe, B. Reeves Eason"
Edward L. Cahn
William Dieterle
Clarence Brown
"James Flood, Elliott Nugent"
Maurice Elvey
George Archainbaud
Thornton Freeland
William A. Wellman
Rouben Mamoulian
Robert Z. Leonard
Marion Gering
William Beaudine
William Dieterle
John G. Adolfi
Frank R. Strayer
"Pál Fejös, Pál Fejös"
"Charles Brabin, Charles Vidor"
George Fitzmaurice
"Howard Bretherton, William Keighley"
Raoul Walsh
"Ralph Ince, William Boyd"
George Archainbaud
Dorothy Arzner
Spencer Gordon Bennet
Edward F. Cline
Norman Z. McLeod
Lloyd Bacon
Frank R. Strayer
"Irving Pichel, Ernest B. Schoedsack"
"James Flood, Elliott Nugent"
"Clyde Bruckman, Harold Lloyd"
A. Edward Sutherland
Karl Freund
Richard Thorpe
Robert Florey
Mikio Naruse
Charles Brabin
Archie Mayo
W.S. Van Dyke
Hobart Henley
Wesley Ruggles
Walter Lang
Jean Renoir
Alfred Hitchcock
James Whale
Russell Mack
"George Cukor, Ernst Lubitsch"
Tay Garnett
"Ralph Murphy, Tay Garnett"
Edward Sedgwick
Lothar Mendes
George Archainbaud
Emory Johnson
Norman Taurog
