imdb_title_id,companies
18464,Robertson-Cole Pictures Corporation
18471,Metro-Goldwyn-Mayer (MGM)
18484,Harry Langdon Corporation
18487,Cosmopolitan Productions
18505,Sovkino
18513,Metro-Goldwyn-Mayer (MGM)
18515,The Caddo Company
18523,Films Albatros
18524,Universal Pictures
18526,Paramount Pictures
18528,Metro-Goldwyn-Mayer (MGM)
18530,Fox Film Corporation
18566,Warner Bros.
18578,Paramount Famous Lasky Corporation
18579,Metro-Goldwyn-Mayer (MGM)
18588,Terra-Filmkunst
18600,Minxin Film Company
18615,Deutsche Universal-Film
18618,Metro-Goldwyn-Mayer (MGM)
18678,Feature Productions
18684,Paramount Famous Lasky Corporation
18722,Metro-Goldwyn-Mayer (MGM)
18737,Nero-Film AG
18742,Metro-Goldwyn-Mayer (MGM)
18749,Cosmopolitan Productions
18756,British International Pictures (BIP)
18770,Films Jean Epstein
18773,Charles Chaplin Productions
18795,Metro-Goldwyn-Mayer (MGM)
18826,Films Albatros
18836,Metro-Goldwyn-Mayer (MGM)
18839,Paramount Pictures
18841,Mezhrabpomfilm
18862,Georgian-Film
18876,British International Pictures (BIP)
18879,Fox Film Corporation
18882,Paramount Pictures
18907,Fox Film Corporation
18908,Paramount Pictures
18909,Fox Film Corporation
18910,Metro-Goldwyn-Mayer (MGM)
18927,Feature Productions
18935,Essem-Film GmbH
18937,Fox Film Corporation
18972,Fox Film Corporation
18990,Universum Film (UFA)
18996,Gaumont British Picture Corporation
19043,Kinugasa Eiga Renmei
19067,Metro-Goldwyn-Mayer (MGM)
19071,Paramount Pictures
19074,Metro-Goldwyn-Mayer (MGM)
19096,Warner Bros.
19098,First National Pictures
19109,Universal Pictures
19127,La Société des Films Charles Dullin
19130,Universal Pictures
19151,Columbia Pictures
19152,The Caddo Company
19182,Fox Film Corporation
19186,British International Pictures (BIP)
19195,Metro-Goldwyn-Mayer (MGM)
19237,Metro-Goldwyn-Mayer (MGM)
19254,Société générale des films
19258,Cosmopolitan Productions
19286,Mezhrabpomfilm
19290,Columbia Pictures
19304,The Caddo Company
19312,Fox Film Corporation
19325,Fox Film Corporation
19335,Metro-Goldwyn-Mayer (MGM)
19344,Gloria Swanson Pictures
19374,Pro Patria Films
19379,Metro-Goldwyn-Mayer (MGM)
19388,Warner Bros.
19400,Metro-Goldwyn-Mayer (MGM)
19412,The Harold Lloyd Corporation
19415,Fritz Lang-Film
19421,Buster Keaton Productions
19429,Fox Film Corporation
19434,Columbia Pictures
19451,Feature Productions
19462,Columbia Pictures
19480,Pierre Braunberger
19489,Metro-Goldwyn-Mayer (MGM)
19509,British Instructional Films (BIF)
19532,Technicolor
19553,Paramount Pictures
19557,First National Pictures
19558,Paramount Famous Lasky Corporation
19563,Metro-Goldwyn-Mayer (MGM)
19571,Metro-Goldwyn-Mayer (MGM)
19574,Metro-Goldwyn-Mayer (MGM)
19585,Metro-Goldwyn-Mayer (MGM)
19591,Metro-Goldwyn-Mayer (MGM)
19609,Mezhrabpomfilm
19611,Mosfilm
19629,Florián Rey-Pedro Larrañaga
19630,Feature Productions
19644,Paramount Pictures
19646,Société des Cinéromans
19649,Vseukrainske Foto Kino Upravlinnia (VUFKU)
19655,Universum Film (UFA)
19658,British International Pictures (BIP)
19684,Fox Film Corporation
19690,Pathé Exchange
19699,Fox Film Corporation
19702,British International Pictures (BIP)
19725,Universal Pictures
19726,First National Pictures
19729,Metro-Goldwyn-Mayer (MGM)
19735,The Samuel Goldwyn Company
19745,Paramount Pictures
19746,Lutèce Films
19777,Paramount Pictures
19785,The Samuel Goldwyn Company
19788,Pickford Corporation
19796,Shochiku Kinema (Kamata)
19798,Paramount Pictures
19800,Paramount Pictures
19811,Metro-Goldwyn-Mayer (MGM)
19815,Metro-Goldwyn-Mayer (MGM)
19823,Warner Bros.
19824,First National Pictures
19839,Metro-Goldwyn-Mayer (MGM)
19843,Metro-Goldwyn-Mayer (MGM)
19850,Gem-Film
19852,Joseph M. Schenck Productions
19856,Edwin Carewe Productions
19884,Columbia Pictures
19886,Metro-Goldwyn-Mayer (MGM)
19889,British International Pictures (BIP)
19901,Universum Film (UFA)
19909,Elisabeth Bergner Poetic Film Co.
19929,Metro-Goldwyn-Mayer (MGM)
19933,Paramount Pictures
19935,C.B. DeMille Productions
19936,Warner Bros.
19939,Sovkino
19945,First National Pictures
19946,James Cruze Productions
19949,Paramount Pictures
19957,RKO Radio Pictures
19959,Metro-Goldwyn-Mayer (MGM)
19976,Universal Pictures
19979,Pathé Exchange
19983,Pathé Exchange
19992,Paramount Pictures
19993,Metro-Goldwyn-Mayer (MGM)
20004,First National Pictures
20011,Super-Film GmbH
20014,Metro-Goldwyn-Mayer (MGM)
20018,Fox Film Corporation
20025,British International Pictures (BIP)
20030,Elton Corporation
20034,Metro-Goldwyn-Mayer (MGM)
20062,Metro-Goldwyn-Mayer (MGM)
20075,Lunde Film
20078,Universal Pictures
20080,Universal Pictures
20081,Metro-Goldwyn-Mayer (MGM)
20092,Paramount Pictures
20099,Mrs. Wallace Reid Productions
20103,George Fitzmaurice Productions
20112,Paramount Pictures
20114,Universal Pictures
20122,Fox Film Corporation
20126,Metro-Goldwyn-Mayer (MGM)
20142,British International Pictures (BIP)
20143,Cosmopolitan Productions
20144,Cosmopolitan Productions
20163,Film Studio 1929
20166,Columbia Pictures
20182,"Grands Films Européens, Les"
20193,Prometheus-Film-Verleih und Vertriebs-GmbH
20197,Rowland V. Lee Productions
20198,Metro-Goldwyn-Mayer (MGM)
20210,Metro-Goldwyn-Mayer (MGM)
20217,Joseph M. Schenck Productions
20223,Warner Bros.
20228,Films Albatros
20230,Sovkino
20232,Sovkino
20238,Warner Bros.
20247,Metro-Goldwyn-Mayer (MGM)
20253,Metro-Goldwyn-Mayer (MGM)
20269,British International Pictures (BIP)
20286,British Instructional Films (BIF)
20293,Sovkino
20298,Gloria Swanson Pictures
20305,Pathé Exchange
20320,Paramount Pictures
20332,RKO Radio Pictures
20335,Fox Film Corporation
20336,Metro-Goldwyn-Mayer (MGM)
20344,S.A.C.I.A.
20358,First National Pictures
20359,Fox Film Corporation
20364,Paramount Pictures
20388,RKO Radio Pictures
20392,Universal Pictures
20402,Universal Pictures
20403,Warner Bros.
20405,Burden-Chanler Productions
20410,Metro-Goldwyn-Mayer (MGM)
20425,Metro-Goldwyn-Mayer (MGM)
20431,Karl Valentin Filmproduktion
20439,Metro-Goldwyn-Mayer (MGM)
20442,Metro-Goldwyn-Mayer (MGM)
20446,First National Pictures
20451,Sovkino
20458,RKO Radio Pictures
20461,Paramount Pictures
20466,Fox Film Corporation
20475,Pabst-Film
20479,Elton Corporation
20480,RKO Radio Pictures
20488,Metro-Goldwyn-Mayer (MGM)
20490,Fox Film Corporation
20492,Metro-Goldwyn-Mayer (MGM)
20499,Paramount Pictures
20502,Cosmopolitan Productions
20510,Gendai Eigasha
20514,Gloria Productions
20516,Metro-Goldwyn-Mayer (MGM)
20534,Metro-Goldwyn-Mayer (MGM)
20538,Metro-Goldwyn-Mayer (MGM)
20542,RKO Radio Pictures
20543,Fox Film Corporation
20547,Compagnie Universelle Cinématographique (CUC)
20556,Paramount Pictures
20563,Shochiku Kamata
20570,Sokal-Film GmbH
20572,The Harold Lloyd Corporation
20581,Metro-Goldwyn-Mayer (MGM)
20585,First National Pictures
20589,Metro-Goldwyn-Mayer (MGM)
20590,Paramount Pictures
20608,Universum Film (UFA)
20613,Columbia Pictures
20620,D.W. Griffith Productions
20629,Universal Pictures
20640,Paramount Pictures
20641,Metro-Goldwyn-Mayer (MGM)
20642,Metro-Goldwyn-Mayer (MGM)
20656,Le Film d'Art
20661,First National Pictures
20668,Joseph M. Schenck Productions
20670,Joseph M. Schenck Productions
20673,RKO Radio Pictures
20679,Paramount Pictures
