writer
Alexander Black
Charles Tait
James Lee
"Chris Kraus, Mike Majzen"
"Romain Protat, Fabrice du Welz"
"Mitsuo Wakasugi, Seiya Yoshida"
"Jeff Arch, Dave Barry"
José María Fernández Unsáin
"Héctor Claramunt, Pau Freixas"
"Stephen Fung, Yiu Fai Lo"
"Jon Land, Jonathan Thies"
"John Alexander Jimenez, Wayne Wallace"
"Fikret Arit, Nuri Ergün"
"Xandra Castleton, David Munro"
Shunji Iwai
"Gabriel Celaya, Juan José Millás"
Péter Tímár
"William Monahan, Alan Mak"
"Zdenek Troska, Evzen Gogela"
Tatsuo Satô
"Keisuke Kinoshita, Fumio Niwa"
Russell Gannon
"Gurinder Chadha, Paul Mayeda Berges"
Çagan Irmak
"Judit Góczán, Béla Hamvas"
"Petr Zelenka, Petr Zelenka"
Jagan
"Rajkumar Hirani, Gopalakrishna Paruchuri"
"Stefan Ahnhem, Karin Fossum"
Jirí Stránský
"John Logan, Hugh Wheeler"
Andreas Marschall
Peter Greenaway
"Ilmar Taska, Kristian Taska"
Mieke de Jong
"Tony Kushner, Eric Roth"
"Dagur Kári, Rune Schjøtt"
"Matt Besser, Amy Poehler"
Joe Forte
"Ryû Murakami, Kankurô Kudô"
"Bill Lancaster, Glenn Ficarra"
Hirokazu Koreeda
"Rasmus Heisterberg, Steen Rasmussen"
"Katharina Held, Hans Weingartner"
"Peter A. Dowling, Billy Ray"
"Steve Attridge, John Paul Chapple"

"Scot Armstrong, Leslie Dixon"
Bernard Jeanjean
"Andrew Shaifer, Josh Stolberg"
"Susan Chan, Sin Ling Yeung"

"Jeffrey Price, Peter S. Seaman"
Michael Mabbott
Stephen Langford
Hing-Ka Chan
"Jan Budar, Vladimír Morávek"
"Randall Miller, Randall Miller"
"William Tepper, Larry Hankin"
Atul Sharma
Jae-young Kwak
"Mark Protosevich, Paul Gallico"
Cédric Klapisch
"Fay Ann Lee, Karen Rousso"
Fereydoun Jeyrani
"Kent Harper, Jennifer Lynch"
"Émile Zola, Neal Bell"
"David Hayter, Alex Tse"
"Sutapa Sikdar, Leena Yadav"
Yves Pelletier
Noah Hawley
"Ramana Chintapally, Sreenu Vaitla"
Jin Jang
"Vikram Bhatt, Vikram Bhatt"
"Klaus Richter, Adalbert Stifter"
"Marko Caklovic, Mario Kovac"
Paul Laverty
Jong-chan Yun
"Stephen Zakman, Robert D. Slane"
"Roberto Orci, Alex Kurtzman"
Yoshito Usui
"Hideaki Anno, Rumi Takahashi"
"Teinosuke Kinugasa, Kaizan Nakazato"
"Timur Bekmambetov, Sergey Lukyanenko"
Álvaro García Mohedano
"Alexandre Apergis, Jérôme Apergis"
"Hie-jae Kim, Cheol-hie Park"
Stephen L. Antczak
"Masato Ide, Taku Miki"
Jörg Andreas
Guy Debord
Craig Brewer
Sean Casey
"León Errázuriz, Matias Ovalle"
"David Auburn, Eun-Jeong Kim"
"Alex Bowen, Fernando Labarca"
Pearse Elliott
"Levent Kazak, Özcan Deniz"
"Joseph Kwong, Paula Mazur"
"Josep Bonet, Santiago García de Leániz"
Alex Rose
Lane Nishikawa
"Valérie Minetto, Cécile Vargaftig"
Jing Wong
"Jean-Pierre Denis, Pierre Péju"
"Russell Holt, Gerald N. Lund"
Eugène Green
Keith Kjornes
Tae-kyeong Kim
"Yolande Moreau, Gilles Porte"
Sathyan Ramesh
"Janez Lapajne, Barbara Cerar"
"Ihsan Ipekçi, Sadik Sendil"
"Puri Jagannadh, Imtiaz Patel"
Michael Sparaga
"Niccolò Ammaniti, Antonio Manzini"
"Jaak Kilmi, René Reinumägi"
"Jay Alaimo, Matt Fiorello"
Alexandra Leclère
"James Clarke, Neil Oseman"
Martin Donovan
"Lajos Parti Nagy, György Pálfi"
Jessica Kavana Dornbusch
"Katie Nisa, Matt Pizzolo"
"Tony Grisoni, Terry Gilliam"

"Damián Fraticelli, Victoria Galardi"
Anghus Houvouras
Gary Scott Thompson
"Mia Concio, Laurenti M. Dyogi"
"Mehdi Charef, Diego De Silva"
"Diane Bertrand, Yôko Ogawa"
Jérôme Salle
Cheran
Sabine Brodersen
"Neil Jordan, Pat McCabe"
Joan Carr-Wiggin
"Simon Maginn, Stephen Massicotte"
"Jacques Audiard, Tonino Benacquista"
"Rodolfo Guzmán, Héctor Rodríguez"
"Abdel Raouf Dafri, Abdel Raouf Dafri"
"Igor Bolgarin, Vladimir Arsenev"
"Pamela Cuming, Lee Ross"
"Yvonne Wunschel, Yvonne Wunschel"
Hannes Stöhr
"Sudhir Mishra, Shivkumar Subramaniam"
Larry Bishop
"Guillermo del Toro, Guillermo del Toro"
"Álvaro Fernández Armero, Roberto Santiago"
"Wayne Kinsey, Ivan Levene"
"José Rodrigues Miguéis, Carlos Saboga"
"Jean Bernard, Eberhard Görner"

Cheran
"Joël Champetier, Joël Champetier"
"Tim Burns, Michel Tremblay"
"William Butler, Aaron Strongoni"
"William Butler, Aaron Strongoni"
"N. Linguswamy, N. Linguswamy"
Osman F. Seden
Casper Andreas
Alan B. McElroy
Ulrich Meczulat
"Jim Jarmusch, Bill Raden"
"Jean van Leeuwen Gabril, Václav Bedrich"
Sara Heldt
"Aleksandr Borodyanskiy, Boris Savinkov"
"Brian Sloan, Brian Sloan"
Roger Donaldson
Gary Weeks
"Jérôme Soubeyrand, Cécile Telerman"
"Homi Adajania, Kersi Khambatta"
"Puri Jagannadh, Kona Venkat"
Rose Bosch
"Jacques Besnard, Éric Besnard"
"Kim Sønderholm, Jonas Kvist Jensen"
"Karine Angeli, Jean Dujardin"
"Andrew Davies, Jeremy Brock"
Carole Laure
Xawery Zulawski
"Hsiao-Hsien Hou, T'ien-wen Chu"
Tom DiCillo
"Glynis Davies, Alan DiFiore"
"Solange Keoleyan, Lily Ann Martin"
Craig Rosenberg
"Harry Crews, Julian Goldberger"
Hendrik Hölzemann
Jennifer Flackett
"David Rose, Kathy Rose"
"João Canijo, Pierre Hodgson"
"Steve Oedekerk, Steve Oedekerk"
Hadi Hajaig
"Jeffrey Price, Peter S. Seaman"
"Milutin Petrovic, Sasa Radojevic"
"Sam Raimi, Ivan Raimi"
"Nguyen Hoang Nam, Peter Vo"
Safa Önal
Vimukthi Jayasundara
Giuseppe Andrews
Erdogan Tünas
Lisa France
"Haroldo Marinho Barbosa, Carlos Drummond de Andrade"
"Márcio Alemão, Paulo Morelli"
"Larry Clark, Larry Clark"
Michael Demuth
Jérôme Bonnell
"Ivy Ho, Hai Yan"
Don Dohler
"Tomasz Kepski, Andrés Schaffer"
Muharrem Gürses
Tassie Cameron
Katsuhito Ishii
"Susannah Grant, Karey Kirkpatrick"
"Stuart Perelmuter, Gil D. Reyes"
"Pat Casey, Josh Miller"

"Sofia Sotiriou, Stamatis Tsarouchas"
"William Nicholson, Michael Hirst"
"Péter Gárdos, Ervin Lázár"
Kraig Wenman
Kim Fupz Aakeson
Hugo Heinen
Xavier Bermúdez
Rimantas Savelis
Javier Echániz
Patrik-Ian Polk
"Ayad Akhtar, Joseph Castelo"
"Daniel Botti, Marcelo Figueras"
"Jane Austen, Deborah Moggach"
"Héctor Carré, José Antonio Félez"
Carlos Brooks
"Nana Dzhordzhadze, Irakli Kvirikadze"
Filip Jan Rymsza
"Cassandra Nicolaou, Ken Chubb"
Fernando Kalife
Hun-Su Park
Sunil
"István Bagin, Bálint Hegedûs"
Shonali Bose
Karan Razdan
Vibeke Idsøe
"Chat Kobjitti, Pantham Thongsangl"
"Baldev Gill, Babu Singh Maan"
Luis Ismael
Luis Ismael
"Luc Besson, Bibi Naceri"
Steve Oedekerk
"Eric Assous, Tonino Benacquista"
"Diego De Silva, Marcello Fois"
Constantin Chirita
Larry Golin
"Hing-Ka Chan, Tin-Shing Yip"
"Abdi Nazemian, Micah Schraft"
Nicola Scott
"Glen Morgan, James Wong"
"Darren Aronofsky, Darren Aronofsky"
"Mark Prebble, Benedict Reid"
Anirudh Dhodapkar
"Serena Brugnolo, Dino Gentili"
"Ståle Stein Berg, Sara Johnsen"
"Peerasak Saksiri, Dolkamol Sattatip"
"Galina Arbuzova, Vladimir Kozlov"
"Chi-long To, Chi-long To"
"Sami Keski-Vähälä, Pekka Mandart"
"Yao Wang, Zhong Zheng"
"Georges Simenon, Béla Tarr"
Hank Nelken
Laïla Marrakchi
"Nick Green, Stephen McDool"
"Jace Anderson, Adam Gierasch"
"Manuel Hidalgo, Felipe Vega"
"Rich Evans, Mike Stoklasa"
Nicolás López
Georgia Lee
"Will Ferrell, Adam McKay"
"Bill Haney, Juan Manuel de Prada"
Thadd Turner
"Nai-Hoi Yau, Tin-Shing Yip"
"Aleksandr Boyarskiy, Konstantin Bronzit"
"Jeff Winiski, Mike Diiorio"
"Majid Majidi, Majid Majidi"
Aleksey Sidorov
Derek Landy
Byeong-ki Ahn
"Bob Brown, Mike Meiners"
Mauricio Pichardo
"Yash Gawli, Yash Keswani"
"J.C. Pollock, J.C. Pollock"
"James Franco, Merriwether Williams"
"Gwiyeoni, Seong-hun Kim"
"Mahesh Tillekar, Mahesh Tillekar"
Tommy Stovall
Ken Tipton
Haluk Özenç
Jessica Hausner
Deborah Kampmeier
"Ka-Fai Wai, Kin-Yee Au"
Hector Hill
"Soham Shah, Soham Shah"
"Gilles Marchand, Dominik Moll"
"Evgeniy Lavrentev, Yuri Sagaidak"
Mark Zakarin
Danielle Arbid
"Jaime Aparicio, Enrique Renteria"
"Vicente Leñero, Guillermo Ríos"
"Seth Bass, Jonathan Tolins"
Miranda July
"Ruslan Baltzer, Evgeniy Lavrentev"
Zornitsa Sophia
Gennadiy Ostrovskiy
Glen Stephens
"Arif Aliev, Sergei Bodrov"
Darin Ferriola
"Seon-mi Kim, Seok-jun Lee"
"Gwiyeoni, Geon-hyang Kang"
"Hie-jae Kim, Yeong-chan Kim"
"Aleksandr Galich, Vladimir Mashkov"
"Patricia Ferreira, Virginia Yagüe"
Aleksandr Rogozhkin
"Sergey Astakhov, Dmitri Kotov"
Dilip Shukla
"Michael Bortman, Allison Burnett"
"Juan Carlos Carrasco, José Antonio Carreón"
Zoltan G. Spencer
"Gina Prince-Bythewood, Sue Monk Kidd"
Valeska Grisebach
"Daniela Féjerman, Inés París"
"Nobara Takemoto, Tetsuya Nakashima"
Jamie Rafn
"Karey Kirkpatrick, David Berenbaum"
"Don Abernathy, Lisa King"
Charudutt Acharya
Pavel Chukhray
Greg McLean
"Nikolay Lebedev, Mariya Semyonova"
Woody Allen
"Dani Levy, Holger Franke"
Edouard Baer
"Zack Snyder, Kurt Johnstad"
"Youssef Chahine, Khaled Youssef"
"Steven Bagatourian, Aric Avelino"
Grayce Wey
Yousef Owf
Carlos Portela
"Luc Besson, Robert Mark Kamen"
"Hak-ki Bang, Yun-ho Yang"
"Jane Austen, Kevin Hood"
Carol Watson
George Elliot
"Billy Shebar, Shi-Zheng Chen"
Steven Sessions
"Robin Bhatt, Vikram Bhatt"
Cüneyt Arkin
Asghar Abdollahi
Javier Cárdenas
"Lee Friedlander, Robin Greenspan"
"Lisa Morton, Brett Thompson"
Yong-ki Jeong
"Serdar Tantekin, Ömer Vargi"
"Antti-Jussi Annila, Antti-Jussi Annila"
"Eric Eisner, Julian Max Metter"

"Seiko Tanabe, Aya Watanabe"
"Joanna Clare Scott, Joanna Clare Scott"
Tom Arnold
"Klaus Baumgart, Piet De Rycker"
Gary Barkin
Fendou Liu
Peyman Ghassemkhani
"Jorge Furtado, Guel Arraes"
Ousmane Sembene
"Claire Cook, Gary David Goldberg"
"Vasanth, Vasanth"
"Hans Petter Blad, Dag Solstad"
"Cheryl Guerriero, Anna Obropta"
"Dominique Mainard, Alain Corneau"
"Su-chang Kong, Yeong-woo Pil"
Kyle Henry
"G.S. Rao, Kona Venkat"
"John Heffernan, Sebastian Gutierrez"
Andrew Wagner
François Ozon
"Tarek Alarian, Mohamed Hefzy"
Dan Gilroy
"Gordon Michaels, Randy Noojin"
Bryan Barber
"Kona Venkat, Sreenu Vaitla"
K.S. Ravikumar
Shin'ya Tsukamoto
Farid Mostafavi
Anthony Cipriano
"Grigoriy Konstantinopolskiy, Sergey Krilov"
"Iskander Galiev, Yuriy Korotkov"
David Collard
"Cédric Kahn, Ismaël Ferroukhi"
François Delisle
"Richard Marcus, Allen Swift"
"Jonathan Meyers, Daniel Wright"
"Stuart Browne, Peter Howitt"
Tom Willett
"Charles Bukowski, Bent Hamer"
"Joseph London, Johannes Roberts"
Paul David Stewart
Aaron James
"Steve Kloves, J.K. Rowling"
"Troy McCombs, Steve Klausner"
"Debra Meyers, Jim Meyers"
"Piero De Bernardi, Claudio Pallottini"
"Hye-won Gwon, Myeong-sook Jang"
"Jeffrey Caine, Christian O'Reilly"
Johannes Jaeger
"Raoul Ruiz, Gilbert Adair"
"Jeff Zuber, Tom Zuber"
"Christian Schoyen, Luis Reneo"
Pupi Avati
"Vincenzo Cerami, Ugo Chiti"
Anna Melikyan
"Kaige Chen, Tan Cheung"
Joshua Michael Stern
Valeri Rozhnov
Murray Robinson
"Mylène Lauzon, Jean-François Lepage"
"Marco Tullio Giordana, Maria Pace Ottieri"
"Yash Keswani, Yash Keswani"
"Giancarlo De Cataldo, Stefano Rulli"
"Karin Aström, Michael Klier"
Bernard Murray Jr.
"Ermanno Olmi, Abbas Kiarostami"
Pat Higgins
"Aldo Baglio, Valerio Bariletti"
"Roberto Orci, Alex Kurtzman"
Michael Fallon
"Linda Ferri, Giuseppe Piccioni"
Marina Razbezhkina
"Georgios Andreadis, Petros Markaris"
Joachim Masannek
Brett Goldstein
"Anees Bazmee, Rumi Jaffery"
"Brady Hart, Steven Kessler"
Anders Thomas Jensen
"Shiraz Ahmed, Shiraz Ahmed"
Youssef Maaty
"Anahí Berneri, Pablo Pérez"
Damion Dietz
Jayce Bartok
"Umberto Marino, Elvio Porta"
"Fausto Brizzi, Marco Martani"
"Márcio Araújo, Paulo Back"
"Christopher Saint Booth, Philip Adrian Booth"
John Gatins
"Peter Thorwarth, Alexander M. Rümelin"
Emily Skopov
"William Broyles Jr., Paul Haggis"
Garth Belcon
Eugène Le Roy
"William Broyles Jr., Anthony Swofford"
Angus MacLachlan
"Ryôichi Kimizuka, Masayuki Ochiai"
George A. Romero
"Tamara Berger, Clement Virgo"
"Joanna Lipper, Morris Engel"
Richard Dembo
Nicolas van Pallandt
"Michael D. Akers, Sandon Berg"
"Eckhard Theophil, Thomas Frydetzki"
"Anthony Badalucco, Bennett Davlin"
"Suneel Darshan, Robin Bhatt"
Srdjan Dragojevic
"Laura Keys, Marty Sader"
"Jack Rhodes, David Carren"
"Christoffer Boe, Knud Romer Jørgensen"
"Sameh Ser El Khetm, Muhammad Nabawi"
Dave Diamond
Neeraj Vora
"Mette Heeno, Anders Morgenthaler"
Bret Wood
"Jim Lawter, Michael Pleckaitis"
"In-mu Heo, Eun-kyeong Yun"
"Kim Fupz Aakeson, Pernille Fischer Christensen"
"Rohan Candappa, Paul Finch"
"Marcus Bleecker, Ryan Combs"
"Roberto Benigni, Vincenzo Cerami"
"Sergio Stivaletti, Sergio Stivaletti"

Richard E. Grant
Darrell Roodt
"Noboru Takagi, Norio Tsuruta"
Guillermo Arriaga
Robert Perisic
"Diana Benítez, Ernesto Murguía"
Belal Fadl
Mark O'Halloran
Gustavo Loza
Götz Spielmann
"Ravi Chopra, Achala Nagar"
Hani Fawzi
Belal Fadl
"Robert Collector, Harold Keith"
"Sogil Yan, Yôichi Sai"
"Shinya Ikeda, Hisashi Inoue"
Martha Fiennes
"Gene Hess, Paul Lawrence"
Oxmo Puccino
"Paddy Considine, Shane Meadows"
Mark Savage
"Paulo Andrade, Paulo Andrade"
Robin Christian
"Dave Callaham, Wesley Strick"
"Silvije Petranovic, Jirí Sotola"
Richard Bell
In-shik Kim
"Sidney Lumet, T.J. Mancini"
"Lionel Baier, Laurent Guido"
"Harun Farocki, Christian Petzold"
"Rick Askew, James Marlowe"

"Chris Pfeifer, Ted Pfeifer"
"Guy Jacobson, Guy Moshe"
Macoto Tezuka
Jonathan Kasdan
"Jakov Sedlar, Jakov Sedlar"
"Martin Asphaug, Håkan Nesser"
"David Benioff, Khaled Hosseini"
Amanda Goodwin
"Michelle Gallagher, Michelle Gallagher"
"Tomas Ross, Theo van Gogh"
"Alice Mak, Brian Tse"
Mahesh Dattani
Jing Wong
"Michael Carnes, Josh Gilbert"
"Onir, Amitabh Verma"
Rodrigo García
Serik Aprimov
Ognjen Svilicic
"Norman J. Grossfeld, Hideki Sonoda"
"Garrison Keillor, Garrison Keillor"
"Saverio Costanzo, Sayed Kashua"
"Mamat Khalid, Teong Hin Saw"
"Matthias Hänisch, Christian Keßler"
"Vaso Hekimoglou, Lakis Lazopoulos"
Edgardo Cozarinsky
Maher Awad
"German Klimov, Igor Shavlak"
"Zvonimir Juric, Boris T. Matic"
"In-ho Hwang, Chang-shi Lee"
"Thomas Bahmann, Marco Kreuzpaintner"
Fernando Fragata
"Paolo Franchi, Heidrun Schleef"
Zach Helm
Arsen A. Ostojic
"Kate DiCamillo, Will McRobb"
"Haruko Fukushima, Pik Wah Lee"
"Jun Ichikawa, Haruki Murakami"
"Günter Grass, Cezary Harasimowicz"
Lodge Kerrigan
"Tim Talbott, Philip Zimbardo"
"Sheldon Turner, Sheldon Turner"
"Yash Gawli, Yash Keswani"
Wojciech Smarzowski
Joaquín Andújar
"Aditya Chopra, Aditya Chopra"
Simon Beaufoy
"Martin Forget, Émile Gaudreault"
"Fabián Bielinsky, Pablo De Santis"
"Santiago Calori, Salvador Roselli"
Bertrand Blier
"Verónica Córdova, Fernando Vargas"
"Douglas McGrath, George Plimpton"
Rady Fu
"Duk-jae Jung-heo, Eun-kyeong Lee"
"Hang-jun Jang, Jae-yeong Jang"
"Hans Bourlon, Danny Verbiest"
"Kambuzia Partovi, Atiq Rahimi"
Tanvir Mokammel
"Baltasar Kormákur, Baltasar Kormákur"
Mike Binder
"Peter Cattaneo, Phil Traill"
"Fabienne Godet, Juliette Sales"
Benjamin Heisenberg
Antonio Capuano
"David Wolstencroft, Richard Alwyn"
Christian Laursen
Enrico Oldoini
"Michael Aimette, John G. Hofmann"
"Stas Mokhnachev, Aleksey Balabanov"
"Jeremiah Campbell, Brandy W. Johnston"
Scott Lew
Ulli Lommel
"Richard Kelly, Richard Kelly"
"Gordan Mihic, Sergej Stanojkovski"
"James Ellroy, Kurt Wimmer"
"Deborah Curtis, Matt Greenhalgh"
Martin Curland
Dan Wilde
Jason Carvey
Sidney King
Billie Letts
"Jeff Maguire, Jac Flanders"
"Jana Erdmann, Mirko Borscht"
"Martin Donovan, Dan Ireland"
Babar Ahmed
Nick Cave
"Carl Ellsworth, Carl Ellsworth"
Melissa Painter
"Nishikant Kamat, Sanjay Pawar"
Ramón Salazar
Michele McGuire
K.S. Ravikumar
Sergio Garrone
"Lluís-Anton Baulenas, Ventura Pons"
Ümit Ünal
Hari
"Radha Mohan, Viji"
"Eric Roth, Eric Roth"
"Don Rhymer, Darryl Quarles"
"Juan Carlos Rubio, Chus Gutiérrez"
"Niklas Rockström, Björn Carlström"
Jem Cohen
"Gilles Malençon, Gilles Malençon"
Nick Vallelonga
Ol Parker
"Ezequiel Acuña, Alberto Rojas Apel"
"Paul Jacks, Rob Moretti"
"Robert Rodriguez, Luz María Rojas"
"Véronique Puybaret, Antoine Santana"
"Vijay Krishna Acharya, Vijay Krishna Acharya"
"Tyler Perry, Tyler Perry"
"Antony Cordier, Julie Peyr"
"Christian Becker, Oliver Schwabe"
Roberto Leoni
"Lalit Mahajan, Sunny Mahajan"
"Joel Zito Araújo, Di Moretti"
Victor Vu
Ahmed Abdallah
"Jaume Balagueró, Jordi Galceran"
"Erin Cressida Wilson, Patricia Bosworth"
"Michael Haran, Mark E. Swinton"
"Bharathan, Dharani"
Todd Rohal
Hiroki Yamaguchi
Adam Green
Chance Shirley
Müjdat Gezen
Aubrey Nealon
"Kutlug Ataman, Perihan Magden"
"Mark A. Lewis, John Callander"
"Nicholas Peterson, Hansen Smith"
"Claire Denis, Jean-Pol Fargeau"
"Guido Chiesa, Wu Ming"
"Aleksandr Gelman, Marcin Korneluk"
"Tamara Bos, Hendrickje Spoor"
"Bharathan, R. Madhesh"
"Shinzô Fujita, Gô Nagai"
"Wael Abd-Allah, Mohamed Hefzy"
Sofia Coppola
"Björn Carlström, Stefan Thunberg"
"Hank Nelken, Hank Nelken"
Nick Palumbo
"Bret McKinney, Mark Andrew Olsen"
"Sarah Bird, Billy Kent"
"Federico Finkielstain, Brian Maya"
"Crazy Mohan, Mouli"
"Sasi Shankar, Sasi Shankar"
Atul Sabharwal
"Philippe Lyon, Eric Valli"
"Karin Babinská, Petra Uselová"
"Rampo Edogawa, Atsushi Kaneko"
"Ondrej Ládek, Julius Sevcík"
Andrew C. Erin
"Timo Joh. Mayer, Marion Müller"
"Saeed Aghighi, Farzad Motamen"
Laurie Collyer
Zhangke Jia
"Roy Iglesias, Yam Laranas"
Kirill Mikhanovsky
"Paul S. Myers, Brennan Shroff"
Marzieh Makhmalbaf
"Abhiraj Jha, Ramana"
Jong-hyun Kim
"Don Rhymer, Ash Brannon"
"Suha Arraf, Eran Riklis"
"Shyam Goel, Anil Sharma"
"Atsushi Matsuhisa, Wataru Tanaka"
Stephen Marshall
Chris Haddock
"Anna Fredriksson, Ulf Malmros"
"Pierre-Pascal Rossi, Barbara Grinberg"
"Laurence Sterne, Frank Cottrell Boyce"
"Hulki Saner, Suavi Sualp"
"Claude Berri, Philippe Ratton"
Kwon-tae Ahn
Saran
Eddie Guerra
Ben Rekhi
"Karrie Melendrez, Michael David Stewart"
"Ali Özgentürk, Onur Ünlü"
Bob Gebert
"Carlo Cassola, Doriana Leondeff"
"Philippe de Chauveron, Guy Laurent"
Jeanne Biras
Ki-duk Kim
Mohsen Amiryoussefi
"Jerry Ciccoritti, Tom Walmsley"
"René Fauchois, Gérard Jugnot"
Yuthlert Sippapak
"Pierre Jolivet, Simon Michaël"
Gustin Nash
J.J. Alani
Lav Diaz
"Dick Clement, Ian La Frenais"
Carl Thibault
Edgardo Viereck
Brian Nelson
"Carla Baptista, Pierre-Marie Goulet"
Christian Carion
Bahman Ghobadi
"Jinglei Xu, Stefan Zweig"
"Chimo, Ziad Doueiri"
"Anais Granofsky, Ingrid Veninger"
"Qingsong Cheng, Jiang Xiao"
"Eric Orner, David Vernon"
"Thomas Brussig, Leander Haußmann"
"Marc Gautron, Fanta Régina Nacro"
"Brigitte Buc, Valérie Lemercier"
Dave Christiano
Kevin Smith
"Amos Gitai, Marie-Jose Sanselme"
"Paulo Lins, Lúcia Murat"
"Kyouichi Katayama, Yûji Sakamoto"
Asghar Farhadi
"Eun-Jeong Kim, Eun-shil Kim"
Vincent J. Roth
Vincenzo Marra
"Daniel Acht, Ali Eckert"
Mania Akbari

"Robert Rodriguez, Marcel Rodriguez"
Kartal Tibet
"Christoffer Boe, Mikael Wulff"
Metin Belgin
"Ahmed El Nasser, Samy Hossam"
"Thomas Lennon, Robert Ben Garant"
Ibrahim El-Garwany
"Robert Nelms, David Ocanas"
"Janusz Glowacki, Lukasz Zadrzynski"
Todd S. Kniss
"Jeremy Dunn, Shaun Paul Piccinino"
"Rupert Thomson, Ana Kokkinos"
Brandon David
"Servet Aksoy, Safak Güçlü"
"Luke Davies, Neil Armfield"
"Jessica Dolan, Susannah Lowber"
"Stephen J. Rivele, Christopher Wilkinson"
"Michael D. Sellers, Manette Rosen"
"Paul Benson, Matt Sullivan"
Mikael Olsen
"Per Fly, Kim Leona"

"Ruth Toma, Claudia Schreiber"
"Don Calame, Chris Conroy"
Yasmine Kassari
"Alex Kendrick, Stephen Kendrick"
Don DeLillo
Chris McIntyre
Burak Göral
"Tom J. Astle, Matt Ember"
George Valencia
Yavuz Turgul
"Ali Ulvi Hünkar, Yilmaz Karakoyunlu"
"Jon Lindstrom, Jon Lindstrom"
"Mohamed Gomaa, Ahmed Mekky"
Terry Green
"Edgar Wright, Simon Pegg"
"Peter Tolan, Leslie Dixon"
Torun Lian
Jeff Mahler
Yordan De Meo
"Randall Rubin, Jonathan Schroder"
"Hiroshi Kanno, Osamu Fukutani"
Blessy
"Rusher Ikeda, Katsuya Matsumura"
"Frank Wedekind, Alberto Lattuada"
Gregory Read
"Ed Herzog, Paul Herzberg"
"Michael Rasmussen, Shawn Rasmussen"
Jason Smilovic
Brian Mazo
"Ahmed El Nasser, Samy Hossam"
"Steen Bille, Niels Arden Oplev"
"Abel Ferrara, Mario Isabella"
Nick Guthe
"Joanna Kos-Krauze, Krzysztof Krauze"
"George F. Walker, George F. Walker"

Henry Bean
"Mette Heeno, Henriette Lind"
"Alaa' Al-Aswany, Wahid Hamid"
"George Wing, John Jeffcoat"
Ferhan Sensoy
T.A. Razak
Adam Haynes
Patrick Hogan
Nicolas Winding Refn
"Greg Glienna, Peter Stass"
"Michael Ian Black, Simon Pegg"
Bill True
Tayfun Güneyer
"Mark Wheaton, Todd Farmer"
Ina Bruhn
Kyle Schickner
Alex Buresch
Sebastián Borensztein
"José Luis Garci, Horacio Valcárcel"
Timothy Scott Bogart
"Kimberly-Rose Wolter, Eric Byler"
Jeff Stanzler
"Mike Clattenburg, Robb Wells"
Girish Puthencherry
Juliusz Machulski
"Fatih Akin, Barbara Albert"
"John Woo, Khan Chan"
"Gorman Bechard, Jessica Bohl"
"Hiroshi Aramata, Takashi Miike"
Greg Mellott
"Juan Cavestany, Enrique López Lavigne"
Antonio Armonia
Louise Archambault
"Sijie Dai, Nadine Perront"
Ward Hulselmans
"Zsombor Dyga, Balázs Lovas"
"Ahmed Khan, Shahab Khan"
Kimberly K. Wilson
"Tairone Feitosa, Gabriel García Márquez"
"Andrey Konchalovskiy, Chris Solimine"
"Malgorzata Szumowska, Przemyslaw Nowakowski"
"Udi Lion, Shuli Rand"
"Wojciech Kuczok, Wojciech Kuczok"
Alexis Valdés
"Chantal Poupaud, Anne Villacèque"
"Jin-Young Choi, Jong-kwan Kwon"
"Daniel Cebrián, Imanol Uribe"
"Joseph Pitchhadze, Dov Stoyer"
Anthony Byrne
"Maud Baignères, Maud Baignères"
Wojciech Ziminski
Jacek Borcuch
"Shûhô Satô, Yasushi Fukuda"
"Ronit Elkabetz, Shlomi Elkabetz"
Eric Forsberg
"Patrick Melton, Marcus Dunstan"
Matthew Perniciaro
"Ahmed Imamovic, Enver Puska"
Brendan Foley
Timothy Barton
Maurice Jamal
Chip Gubera
Fred Breinersdorfer
Craig Mazin
Jay Martel
"Jacqueline Zambrano, Chanel Capra"
Eric DelaBarre
"Neal Purvis, Robert Wade"
Nick Cassavetes
Mesut Uçakan
Hiroshi Shimizu
"James Dean Schulte, Thomas Smugala"
Erdogan Tünas
"Nick Castle, James V. Hart"
Dan Svátek
"Lisa Azuelos, Laurent Chalumeau"
"Ineabelle Colón, Pedro Muñiz"
"Luiz Moura, José Roberto Torero"
Debbie Isitt
"David Guion, Michael Handelman"
"Gul Dirican, Tarik Günersel"
"John Friedmann, Florian Simbeck"
"Tom J. Astle, Matt Ember"
Vedat Türkali
"Gülin Tokat, Ihsan Yüce"
"Robert Eisele, Robert Eisele"
Kemal Kenan Ergen
"Leslie Dixon, John Waters"
"Orhan Aksoy, Sabahattin Ali"
"Harald Rosenløw-Eeg, Erik Poppe"
M.D. Selig

"David Kajganich, Jack Finney"
Ji-won Lee
Kim Sky
"Masuji Ibuse, Yoshitomo Nagase"
"Giacomo Martelli, Giacomo Martelli"
Scott Frank
"James Frey, Aaron Taylor-Johnson"
"Robert Downey Sr., Elsie Downey"
"Jordi Galceran, Mateo Gil"
Graeme Whifler
Robert Reinert
Irving Schwartz
Ilan Duran Cohen
"Adam Hackbarth, Corbin Timbrook"
Suphi Tekniker
"Michael Gingold, Richard Siegel"
